"inc_number","inc_assignment_group","inc_opened_at","inc_cmdb_ci","inc_short_description","taskslatable_has_breached","inc_u_escalation_reason"
"INC0869741","SC_ALL_L1_SDK","17/03/2026 14:59:50","Teams","Surval - Teams - erreur lros du décrochage d'appel teams.","false","Assigned for Resolution"
"INC0881916","SC_ALL_L2_WKS","19/04/2026 15:40:25","Outlook 365","DZ1 - Restauration d'emails perdus","false","Assigned for Resolution"
"INC0861428","SC_ALL_L2_WKS","24/02/2026 16:00:08","Outlook 365","WFH- Outlook -recover email ","false","Assigned for Resolution"
"INC0866809","SC_ALL_L2_WKS","10/03/2026 13:06:03","Windows","Office 365 updates several times in a days with Windows Explorer closing with black screen.","false","Assigned for Resolution"
"INC0865203","SC_ALL_L1_SDK","05/03/2026 12:24:44","OneDrive 365","Onsite - Surval - OneDrive -Files are not synchronized with SharePoint ","false","Assigned for Resolution"
"INC0875052","SC_ALL_L2_WKS","31/03/2026 09:00:11","Outlook 365","Je dois retrouver un email important dans mon historique. un email envoyé entre Septembre et décembre","false","Assigned for Resolution"
"INC0875002","SC_ALL_L1_SDK","31/03/2026 04:35:31","SharePoint O365","[SharePoint] I will be lost My SharePoint admin account license !","false","Assigned for Resolution"
"INC0866754","SC_ALL_L1_SDK","10/03/2026 11:16:55","OneDrive 365","Impossible d'accéder et d'ouvrir des dossiers dans le OneDrive","false","Assigned for Resolution"
"INC0868383","SC_ALL_L1_SDK","13/03/2026 13:30:48","WIFI","Côte d'Ivoire - laptop MAR-KB28-CI1- A certificate is needed to connect to Wi-Fi","false","Assigned for Resolution"
"INC0875446","SC_ALL_L2_GAM","31/03/2026 20:34:34","Intune","Ivy Xue will not authenticate","false","Assigned for Resolution"
"INC0872035","SC_ALL_L1_SDK","23/03/2026 13:49:42","OneDrive 365","WFH-onedrive-storage issue","false","Assigned for Resolution"
"INC0874094","SC_ALL_L1_SDK","27/03/2026 12:05:07","Intune","Missing MyIndustry WiFi certificate","false","Assigned for Resolution"
"INC0882534","SC_ALL_L1_SDK","20/04/2026 15:07:12","Teams","Il y a eu une erreur de bénéficiaire sur la demande RITM0458982 et je veux que mon numéro de téléphone : 01.55.72.41.88 qui m'avait été attribué soit remis.","false","Assigned for Resolution"
"INC0876720","SC_ALL_L1_SDK","03/04/2026 11:55:29","Outlook 365","Not able to access O365 Apps","false","Assigned for Resolution"
"INC0884563","SC_ALL_L1_SDK","24/04/2026 17:44:36","Windows","Windows 11 3.4 ISO Not working","false","Assigned for Resolution"
"INC0883097","SC_ALL_L2_WKS","21/04/2026 16:32:12","Outlook 365","Deleted Emails needed for Expense Report","false","Assigned for Resolution"
"INC0870050","SC_ALL_L2_WKS","18/03/2026 09:48:28","WIFI","WFH- Surval- Wifi option does not exist","false","Assigned for Resolution"
"INC0870050","SC_ALL_L2_WKS","18/03/2026 09:48:28","WIFI","WFH- Surval- Wifi option does not exist","false","Assigned for Resolution"
"INC0869741","SC_ALL_L1_SDK","17/03/2026 14:59:50","Teams","Surval - Teams - erreur lros du décrochage d'appel teams.","false","Assigned for Resolution"
"INC0848011","SC_ALL_L1_SDK","21/01/2026 09:47:14","Outlook 365","WFH-outlook- user can't book meeting in shared calender","false","Assigned for Resolution"
"INC0884563","SC_ALL_L1_SDK","24/04/2026 17:44:36","Windows","Windows 11 3.4 ISO Not working","false","Assigned for Resolution"
"INC0866754","SC_ALL_L1_SDK","10/03/2026 11:16:55","OneDrive 365","Impossible d'accéder et d'ouvrir des dossiers dans le OneDrive","false","Assigned for Resolution"
"INC0874474","SC_ALL_L2_GAM","30/03/2026 05:26:15","Windows Account","can't access with meeting room. also can't find the PW ","false","Assigned for Resolution"
"INC0876720","SC_ALL_L1_SDK","03/04/2026 11:55:29","Outlook 365","Not able to access O365 Apps","false","Assigned for Resolution"
"INC0881916","SC_ALL_L2_WKS","19/04/2026 15:40:25","Outlook 365","DZ1 - Restauration d'emails perdus","false","Assigned for Resolution"
"INC0882534","SC_ALL_L1_SDK","20/04/2026 15:07:12","Teams","Il y a eu une erreur de bénéficiaire sur la demande RITM0458982 et je veux que mon numéro de téléphone : 01.55.72.41.88 qui m'avait été attribué soit remis.","false","Assigned for Resolution"
"INC0865203","SC_ALL_L1_SDK","05/03/2026 12:24:44","OneDrive 365","Onsite - Surval - OneDrive -Files are not synchronized with SharePoint ","false","Assigned for Resolution"
"INC0868383","SC_ALL_L1_SDK","13/03/2026 13:30:48","WIFI","Côte d'Ivoire - laptop MAR-KB28-CI1- A certificate is needed to connect to Wi-Fi","false","Assigned for Resolution"
"INC0872035","SC_ALL_L1_SDK","23/03/2026 13:49:42","OneDrive 365","WFH-onedrive-storage issue","false","Assigned for Resolution"
"INC0861428","SC_ALL_L2_WKS","24/02/2026 16:00:08","Outlook 365","WFH- Outlook -recover email ","true","Assigned for Resolution"
"INC0874094","SC_ALL_L1_SDK","27/03/2026 12:05:07","Intune","Missing MyIndustry WiFi certificate","true","Assigned for Resolution"
"INC0866809","SC_ALL_L2_WKS","10/03/2026 13:06:03","Windows","Office 365 updates several times in a days with Windows Explorer closing with black screen.","true","Assigned for Resolution"
"INC0875002","SC_ALL_L1_SDK","31/03/2026 04:35:31","SharePoint O365","[SharePoint] I will be lost My SharePoint admin account license !","false","Assigned for Resolution"
"INC0875052","SC_ALL_L2_WKS","31/03/2026 09:00:11","Outlook 365","Je dois retrouver un email important dans mon historique. un email envoyé entre Septembre et décembre","false","Assigned for Resolution"
"INC0883097","SC_ALL_L2_WKS","21/04/2026 16:32:12","Outlook 365","Deleted Emails needed for Expense Report","false","Assigned for Resolution"
"INC0875446","SC_ALL_L2_GAM","31/03/2026 20:34:34","Intune","Ivy Xue will not authenticate","false","Assigned for Resolution"
"INC0870985","SC_ALL_L1_SDK","19/03/2026 20:36:12","OneDrive 365","One drive has stopped working, cashing and not syncing","false","Assigned for Resolution"
"INC0867846","SC_ALL_L1_SDK","12/03/2026 12:12:00","OneDrive 365","WFH-onedrive-Synchronization issue","false","Assigned for Resolution"
"INC0870447","SC_ALL_L1_SDK","18/03/2026 19:29:02","Edge","Certificate expired when trying to access webpage","false","Assigned for Resolution"
"INC0869822","SC_ALL_L1_SDK","17/03/2026 16:42:20","Edge","Saclay - Chrome - user needs chrome reinstalled ","false","Assigned for Resolution"
"INC0883056","SC_ALL_L2_GAM","21/04/2026 15:18:31","Teams","Impossible de connecter le compte de la salle de réunion <FR5 DR2 D3 30 1 6P (SALLE D286 - VISIO) au Roompanel ","false","Assigned for Resolution"
"INC0879584","SC_ALL_L2_WKS","13/04/2026 11:14:36","VDI","No access","false","Assigned for Resolution"
"INC0861930","SC_ALL_L2_WKS","25/02/2026 16:41:02","Outlook 365","Problème de rétention de mail - email disparu ","true","Assigned for Resolution"
"INC0875396","SC_ALL_L2_WKS","31/03/2026 17:05:48","VPN Check Point","I can't start VPN Checkpoint on my laptop","false","Assigned for Resolution"
"INC0869483","SC_ALL_L2_WKS","17/03/2026 09:41:00","OneDrive 365","WFH - onenote - Unable to open  OneNote files in OneDrive","true","Assigned for Resolution"
"INC0883303","SC_ALL_L2_WKS","22/04/2026 09:46:38","Edge","MS administration center URL not reachable","false","Assigned for Resolution"
"INC0865153","SC_ALL_L2_WKS","05/03/2026 11:21:24","PXY Zscaler","Pas d'accès à zscaler et blocage de tous les accès internet","false","Assigned for Resolution"
"INC0870444","SC_ALL_L1_SDK","18/03/2026 19:18:59","Edge","Certificate expired when trying to access APIF webpage","false","Assigned for Resolution"
"INC0882625","SC_ALL_L2_GAM","20/04/2026 16:58:21","Smart Room FR CB7","Impossible de connecter le compte Teams de la salle BIOGARAN BUREAU FINANCE","false","Assigned for Resolution"
"INC0871756","SC_ALL_L2_WKS","23/03/2026 09:09:43","Windows Workstation","l'outil capture d'écran  ( snipping tool ) ne fonctionne pas sur mon nouveau poste W11: il a donc été été désinstallé par le PROXYBar ","false","Assigned for Resolution"
"INC0863513","SC_ALL_L1_SDK","02/03/2026 13:45:05","Network Drive","Plus possible d'accéder à un lecteur réseau - message d'erreur","false","Assigned for Resolution"
"INC0877131","SC_ALL_L1_SDK","06/04/2026 01:56:00","Mobile Phone","Usa -Windows -User is  moving to France today  and she  want to go online when there is no wifi , she want to use data plan and don't have the option ","false","Incorrect Assignment"
"INC0868269","SC_ALL_L1_SDK","13/03/2026 09:59:08","KLUSTER","[TxM]-Impossible to connect to KLUSTER application using Proxy URL on Windows 11","false","Assigned for Resolution"
"INC0881563","SC_ALL_L1_SDK","17/04/2026 11:40:06","SharePoint O365","probleme accès au site sharepoint https://teams.microsoft.com/l/message/19:meeting_YzU0MzU3MDMtMzE2Zi00YzVlLTliYzEtYzllNTk3OWE4OWZm@thread.v2/1776418015906?cont","false","Assigned for Resolution"
"INC0883571","SC_ALL_L1_SDK","22/04/2026 17:09:32","NEO BL","I had raised access for NEO Tracker but access is not yet granted. I am unable to find the authorized person to grant the access","false","Assigned for Resolution"
"INC0872058","SC_ALL_L1_SDK","23/03/2026 14:17:36","Chrome","Chrome browser is removed","false","Incorrect Assignment"
"INC0874107","SC_ALL_L2_WKS","27/03/2026 12:30:07","AnyDesk","Unable to connect from IT Admin PC to computer","false","Assigned for Resolution"
"INC0835877","SC_ALL_L1_SDK","10/12/2025 09:48:00","MS Project","Gidy - MS project - dupliquer la programmation MS project  sur plusieurs postes","false","Assigned for Resolution"
"INC0863294","SC_ALL_L1_SDK","02/03/2026 09:39:21","Planner 365","Unable to connect to planner","false","Assigned for Resolution"
"INC0854543","SC_ALL_L1_SDK","09/02/2026 11:04:15","Visio 365","Je ne peux plus ouvrir et modifier des documents sous Visio","false","Assigned for Resolution"
"INC0868888","SC_ALL_L1_SDK","16/03/2026 10:50:37","Imprimante PDF","impossible d'imprimer","false","Assigned for Resolution"
"INC0861930","SC_ALL_L2_WKS","25/02/2026 16:41:02","Outlook 365","Problème de rétention de mail - email disparu ","false","Assigned for Resolution"
"INC0881043","SC_ALL_L1_SDK","16/04/2026 11:05:10","Windows Account","J'ai donné accès à un dossier à une entreprise et il ne peut pas se connecter : Virgil VANDERNOOT de la société DEZA. Voir message d'erreur","false","Assigned for Resolution"
"INC0881287","SC_ALL_L1_SDK","16/04/2026 17:33:22","SharePoint O365","perte d'un dossier ","false","Assigned for Resolution"
"INC0876641","SC_ALL_L1_SDK","03/04/2026 10:17:20","SharePoint O365","Unable to download the Teams meeting recording via the SharePoint link","false","Assigned for Resolution"
"INC0850911","SC_ALL_L2_WKS","29/01/2026 10:28:43","MS Project","Project reste vide après le chargement d'un fichier .CSV","false","Assigned for Resolution"
"INC0869531","SC_ALL_L1_SDK","17/03/2026 10:24:52","Chrome","Google chrome a été désinstallé de mon poste","false","Assigned for Resolution"
"INC0858812","SC_ALL_L1_SDK","17/02/2026 15:57:43","Network Drive","Plus accès à 4 serveurs","false","Incorrect Assignment"
"INC0870731","SC_ALL_L2_WKS","19/03/2026 12:20:56","Windows 11","Zscaler upgrade failed","false","Assigned for Resolution"
"INC0859590","SC_ALL_L1_SDK","19/02/2026 09:28:34","Captur 365","bug capture","false","Assigned for Resolution"
"INC0876202","SC_ALL_L1_SDK","02/04/2026 11:07:44","Automate (BR)","Generic account UA1svcDRMS-Master@servier.com lost its Microsoft Power Automate Premium license an hour ago","false","Assigned for Resolution"
"INC0875631","SC_ALL_L1_SDK","01/04/2026 09:51:26","ERECA","I am unable to access the stored contents in ERECA","false","Incorrect Assignment"
"INC0882674","SC_ALL_L1_SDK","20/04/2026 18:07:51","DIANE","Unable to reset the password in diane","false","Assigned for Resolution"
"INC0881315","SC_ALL_L1_SDK","16/04/2026 18:57:03","Windows Account","mauvaise adresse mail associée à mon empreinte digitale/Code confidentiel","false","Assigned for Resolution"
"INC0870380","SC_ALL_L1_SDK","18/03/2026 16:00:36","SharePoint O365","WFH - Sharepoint - Uploading documents to a sharepoint stuck","false","Assigned for Resolution"
"INC0881315","SC_ALL_L1_SDK","16/04/2026 18:57:03","Windows Account","mauvaise adresse mail associée à mon empreinte digitale/Code confidentiel","false","Assigned for Resolution"
"INC0869531","SC_ALL_L1_SDK","17/03/2026 10:24:52","Chrome","Google chrome a été désinstallé de mon poste","false","Assigned for Resolution"
"INC0850911","SC_ALL_L2_WKS","29/01/2026 10:28:43","MS Project","Project reste vide après le chargement d'un fichier .CSV","false","Assigned for Resolution"
"INC0881287","SC_ALL_L1_SDK","16/04/2026 17:33:22","SharePoint O365","perte d'un dossier ","false","Assigned for Resolution"
"INC0875631","SC_ALL_L1_SDK","01/04/2026 09:51:26","ERECA","I am unable to access the stored contents in ERECA","false","Incorrect Assignment"
"INC0859590","SC_ALL_L1_SDK","19/02/2026 09:28:34","Captur 365","bug capture","false","Assigned for Resolution"
"INC0870380","SC_ALL_L1_SDK","18/03/2026 16:00:36","SharePoint O365","WFH - Sharepoint - Uploading documents to a sharepoint stuck","false","Assigned for Resolution"
"INC0858812","SC_ALL_L1_SDK","17/02/2026 15:57:43","Network Drive","Plus accès à 4 serveurs","false","Incorrect Assignment"
"INC0870731","SC_ALL_L2_WKS","19/03/2026 12:20:56","Windows 11","Zscaler upgrade failed","false","Assigned for Resolution"
"INC0881043","SC_ALL_L1_SDK","16/04/2026 11:05:10","Windows Account","J'ai donné accès à un dossier à une entreprise et il ne peut pas se connecter : Virgil VANDERNOOT de la société DEZA. Voir message d'erreur","false","Assigned for Resolution"
"INC0882674","SC_ALL_L1_SDK","20/04/2026 18:07:51","DIANE","Unable to reset the password in diane","false","Assigned for Resolution"
"INC0876641","SC_ALL_L1_SDK","03/04/2026 10:17:20","SharePoint O365","Unable to download the Teams meeting recording via the SharePoint link","false","Assigned for Resolution"
"INC0876202","SC_ALL_L1_SDK","02/04/2026 11:07:44","Automate (BR)","Generic account UA1svcDRMS-Master@servier.com lost its Microsoft Power Automate Premium license an hour ago","false","Assigned for Resolution"
"INC0868269","SC_ALL_L1_SDK","13/03/2026 09:59:08","KLUSTER","[TxM]-Impossible to connect to KLUSTER application using Proxy URL on Windows 11","false","Assigned for Resolution"
"INC0874107","SC_ALL_L2_WKS","27/03/2026 12:30:07","AnyDesk","Unable to connect from IT Admin PC to computer","false","Assigned for Resolution"
"INC0861930","SC_ALL_L2_WKS","25/02/2026 16:41:02","Outlook 365","Problème de rétention de mail - email disparu ","false","Assigned for Resolution"
"INC0835877","SC_ALL_L1_SDK","10/12/2025 09:48:00","MS Project","Gidy - MS project - dupliquer la programmation MS project  sur plusieurs postes","false","Assigned for Resolution"
"INC0863294","SC_ALL_L1_SDK","02/03/2026 09:39:21","Planner 365","Unable to connect to planner","false","Assigned for Resolution"
"INC0881563","SC_ALL_L1_SDK","17/04/2026 11:40:06","SharePoint O365","probleme accès au site sharepoint https://teams.microsoft.com/l/message/19:meeting_YzU0MzU3MDMtMzE2Zi00YzVlLTliYzEtYzllNTk3OWE4OWZm@thread.v2/1776418015906?cont","false","Assigned for Resolution"
"INC0872058","SC_ALL_L1_SDK","23/03/2026 14:17:36","Chrome","Chrome browser is removed","false","Incorrect Assignment"
"INC0871756","SC_ALL_L2_WKS","23/03/2026 09:09:43","Windows Workstation","l'outil capture d'écran  ( snipping tool ) ne fonctionne pas sur mon nouveau poste W11: il a donc été été désinstallé par le PROXYBar ","false","Assigned for Resolution"
"INC0863513","SC_ALL_L1_SDK","02/03/2026 13:45:05","Network Drive","Plus possible d'accéder à un lecteur réseau - message d'erreur","false","Assigned for Resolution"
"INC0882625","SC_ALL_L2_GAM","20/04/2026 16:58:21","Smart Room FR CB7","Impossible de connecter le compte Teams de la salle BIOGARAN BUREAU FINANCE","false","Assigned for Resolution"
"INC0883571","SC_ALL_L1_SDK","22/04/2026 17:09:32","NEO BL","I had raised access for NEO Tracker but access is not yet granted. I am unable to find the authorized person to grant the access","false","Assigned for Resolution"
"INC0868888","SC_ALL_L1_SDK","16/03/2026 10:50:37","Imprimante PDF","impossible d'imprimer","false","Assigned for Resolution"
"INC0854543","SC_ALL_L1_SDK","09/02/2026 11:04:15","Visio 365","Je ne peux plus ouvrir et modifier des documents sous Visio","false","Assigned for Resolution"
"INC0877131","SC_ALL_L1_SDK","06/04/2026 01:56:00","Mobile Phone","Usa -Windows -User is  moving to France today  and she  want to go online when there is no wifi , she want to use data plan and don't have the option ","false","Incorrect Assignment"
"INC0782467","SC_ALL_L2_GAM","24/06/2025 15:36:40","Windows Account","script for GRS-GO-BAL-CREATE-REMOTE is not working.","true","Assigned for Resolution"
"INC0848167","SC_ALL_L2_GAM","21/01/2026 13:53:43","EGIS SAP R/3 HCM","Several Egis users have reported that they can send emails to Servier, but emails sent from Servier do not arrive at Egis.","true","Assigned for Resolution"
"INC0782532","SC_ALL_L2_WKS","24/06/2025 17:24:15","PHARMASUITE GD2 PRD","Gidy- Pharmasuite - java error : Can not access ","false","Assigned for Resolution"
"INC0774996","SC_ALL_L1_SDK","02/06/2025 08:08:15","VPN Check Point","GD/OR - Plus d'accès VPN ","false","Assigned for Resolution"
"INC0876276","SC_ALL_L2_GAM","02/04/2026 12:29:42","Windows Account","Ajustement SMTP secondaire utilisateurs Codir Biogaran","false",""
"INC0747327","SC_ALL_L2_WKS","10/03/2025 09:57:02","Adobe Acrobat","Impossibilité de se connecter à Adobe Acrobat, Publisher, Reader, ainsi qu'à la suite CC.","false","Assigned for Resolution"
"INC0757922","SC_ALL_L2_GAM","09/04/2025 10:44:59","Windows Account","CLEMENT - Windows Account - Compte désactivé ","false","Assigned for Resolution"
"INC0743350","SC_ALL_L2_GAM","25/02/2025 15:52:59","Outlook 365","VIP incident - P2 - Distribution list","false","Incorrect Assignment"
"INC0828213","SC_ALL_L2_GAM","18/11/2025 10:11:09","AD ARS","GRS-GO-BAL-CREATE-REMOTE Issue (group AD responsible for the creation of mailboxes)","true","Assigned for Resolution"
"INC0745816","SC_ALL_L2_GAM","05/03/2025 07:41:40","Teams","teams room","false",""
"INC0818451","SC_ALL_L2_WKS","17/10/2025 11:18:08","Edge","Impossibilité de se connecter à l'application Sherpa avec le navigateur Microsoft Edge","false","Assigned for Resolution"
"INC0746771","SC_ALL_L2_GAM","07/03/2025 08:58:11","Teams","Hang Zhou Teams conference ( CN1ZZBJMEETINGROOM4@servier.com) cannot be used. As there is no license for it.","false",""
"INC0793809","SC_ALL_L2_WKS","30/07/2025 10:14:27","Windows Workstation","Please push the package  EIGEN-VECTOR_MODEL-EXPORTER_4.1_NA_X64_R01  into EMVDTCSAPP1-049(Win 11) for testing eigenvector under TMACMC-1432.","false",""
"INC0875396","SC_ALL_L2_WKS","31/03/2026 17:05:48","VPN Check Point","I can't start VPN Checkpoint on my laptop","false","Assigned for Resolution"
"INC0834243","SC_ALL_L2_WKS","05/12/2025 03:55:22","IOS","[iPad]  Unable to Enroll iPad into Intune – MDM Profile Installation Error (401)","false","Assigned for Resolution"
"INC0752882","SC_ALL_L2_WKS","25/03/2025 18:01:56","Adobe Acrobat","BOUBEKEUR - Adobe Acrobat - Il n'est pas possible d'utiliser l'option BIFFER.","false","Assigned for Resolution"
"INC0793802","SC_ALL_L2_WKS","30/07/2025 10:08:45","Windows Workstation","Please push the package  EIGEN-VECTOR_MIA-Toolbox_3.1_NA_X64_R01  into EMVDTCSAPP1-049(Win 11) for testing eigenvector under TMACMC-1432.","false",""
"INC0747340","SC_ALL_L2_WKS","10/03/2025 10:06:36","Adobe CCE","Adobe ECC License [GRS-GA-APP-ADOBE PRO] no longer works for all users [Biogaran] who normally have this license","false","Assigned for Resolution"
"INC0745699","SC_ALL_L2_GAM","04/03/2025 16:43:59","Teams","MX1 site have two teams room and both shows ""Can't start session on MST""","false","Assigned for Resolution"
"INC0815993","SC_ALL_L2_WKS","10/10/2025 07:54:01","Citrix","WFH- Cirtix- Applications in Citrix are not opening","false","Assigned for Resolution"
"INC0750308","SC_ALL_L2_GAM","18/03/2025 14:10:13","Outlook 365","The user is unable to use his email address., Please check the attached pic ","false","Assigned for Resolution"
"INC0729043","SC_ALL_L2_GAM","15/01/2025 17:17:18","Outlook 365","Outlook 365 - BONFILS - Ne peux pas utiliser l'application outlook","false","Assigned for Resolution"
"INC0784441","SC_ALL_L2_GAM","30/06/2025 12:13:34","Windows","KADDACHI - ORDINATEUR - Impossible d'attribution","false","Assigned for Resolution"
"INC0754770","SC_ALL_L2_GAM","01/04/2025 09:06:14","Windows Account","Marc-Antoine CORNILLEAU - Windows account - Compte désactivé suite départ et reprise ","false","Assigned for Resolution"
"INC0766794","SC_ALL_L2_GAM","06/05/2025 10:50:00","Outlook 365","email address regarding RITM0302798 doesn't work as expected","false","Assigned for Resolution"
"INC0852187","SC_ALL_L1_SDK","02/02/2026 17:38:54","RPA Platform","Microsoft app license issue on user emsvcrparec & more RPA platform users. DEV & UAT affected at the moment. Afraid PROD will be if the licensing was updated","false","Assigned for Resolution"
"INC0832797","SC_ALL_L2_WKS","02/12/2025 08:46:00","VS CODE","Please install VS Code V18 & node.js  for user Ahmed khan","false","Insufficient Informations"
"INC0782467","SC_ALL_L2_GAM","24/06/2025 15:36:40","Windows Account","script for GRS-GO-BAL-CREATE-REMOTE is not working.","false","Assigned for Resolution"
"INC0815854","SC_ALL_L2_GAM","09/10/2025 16:59:18","Outlook 365","Anne CORSINI - Mise en place d'un message d'absence","false","Assigned for Resolution"
"INC0793117","SC_ALL_L2_GAM","28/07/2025 09:20:20","Windows Account","IRENEE -  Groupe AD - Accès  Demande de gestion des groupes AD","false","Assigned for Resolution"
"INC0857857","SC_ALL_L2_GAM","16/02/2026 09:11:32","PXY Zscaler","zscaler account issue for new colleague starting today (see attachment)","false","Assigned for Resolution"
"INC0729800","SC_ALL_L2_WKS","17/01/2025 11:58:38","SYNAPS (TALEND)","Please help me to place SPAjco3.dll file at C:\Windows\System32 path.","false",""
"INC0831959","SC_ALL_L2_WKS","28/11/2025 13:14:59","VDI","I need to install the node js in my VDI.","false","Assigned for Resolution"
"INC0848167","SC_ALL_L2_GAM","21/01/2026 13:53:43","EGIS SAP R/3 HCM","Several Egis users have reported that they can send emails to Servier, but emails sent from Servier do not arrive at Egis.","false","Assigned for Resolution"
"INC0806846","SC_ALL_L2_WKS","12/09/2025 09:05:17","VDI","Please help me to place updated SAPjco.dll file at C:\Windows\System32 path.","false","Assigned for Resolution"
"INC0767309","SC_ALL_L2_GAM","07/05/2025 12:11:36","Outlook 365","Accès listes de distribution privatisée (vip)","false",""
"INC0788955","SC_ALL_L2_WKS","14/07/2025 13:34:43","Windows Workstation","Kindly push the package : SIMULATIONSPLUS_GastroPlus_9.6_EN_X64_R01 into VDI: EMVDTCSRBI1-061.","false",""
"INC0847596","SC_ALL_L2_GAM","20/01/2026 11:44:25","Windows","Saclay_Windows_souci d'access ","false","Assigned for Resolution"
"INC0810809","SC_ALL_L2_GAM","24/09/2025 23:14:03","Teams","Teams rooms aren't working","false","Assigned for Resolution"
"INC0732937","SC_ALL_L2_GAM","27/01/2025 10:06:22","Windows Account","Change alias of a mailbox.","false",""
"INC0846027","SC_ALL_L2_GAM","15/01/2026 09:39:44","Exchange","Mail reception by @biogaran.com domain name does not work","false","Assigned for Resolution"
"INC0787050","SC_ALL_L2_WKS","07/07/2025 14:50:38","Windows","Account Locked need to unlocked the account ","false","Assigned for Resolution"
"INC0743670","SC_ALL_L2_GAM","26/02/2025 12:37:04","Outlook 365","VIP incident - P2 - Distribution list","false","Incorrect Assignment"
"INC0875752","SC_ALL_L2_GAM","01/04/2026 12:27:14","Easy Access","The user does not have access to the shared email address CBZZDIRAPPEVA3@servier.com","false","Incorrect Assignment"
"INC0879040","SC_ALL_L2_GAM","10/04/2026 13:59:50","Outlook 365","Problem accessing the generic mailbox ","false","Assigned for Resolution"
"INC0876536","SC_ALL_L2_GAM","03/04/2026 07:36:40","Windows Account","issue with PowerAutomate Licenses","false","Assigned for Resolution"
"INC0803982","SC_ALL_L2_GAM","04/09/2025 00:30:01","Teams","Administrator Password Request","false",""
"INC0729275","SC_ALL_L2_WKS","16/01/2025 10:18:25","Outlook 365","Email sent from mailbox to ""other folder"" instead of main inbox","false","Assigned for Resolution"
"INC0793767","SC_ALL_L2_WKS","30/07/2025 09:14:48","Windows Workstation","Please push the package  EIGEN-VECTOR_PLS-Toolbox_9.5_NA_X64_R02  into EMVDTCSAPP1-049(Win 11) for testing eigenvector under TMACMC-1432.","false",""
"INC0879985","SC_ALL_L2_GAM","14/04/2026 08:17:12","Outlook 365","Gidy - Outlook - problème d'accès a l'adresse générique ( Plusieurs utilisateurs )","false","Assigned for Resolution"
"INC0805847","SC_ALL_L2_GAM","09/09/2025 17:36:45","Outlook 365","{VIP Incident} - It is not possible for the Generic Mailbox <FRcb DRH Group People and HR Operations> to send emails to the diffusion List (+FR tous salariés)","false","Assigned for Resolution"
"INC0846027","SC_ALL_L2_GAM","15/01/2026 09:39:44","Exchange","Mail reception by @biogaran.com domain name does not work","false","Assigned for Resolution"
"INC0835923","SC_ALL_L2_WKS","10/12/2025 10:53:00","VDI","I want to install few components in visual studio in VDI","false","Assigned for Resolution"
"INC0815375","SC_ALL_L1_SDK","08/10/2025 16:00:41","Outlook 365","Immediate deletion of an email – Action Required","false",""
"INC0803337","SC_ALL_L1_SDK","02/09/2025 15:15:06","VDI","Not able to connect to VDI","false",""
"INC0783842","SC_ALL_L1_SDK","27/06/2025 10:42:35","MFA MS MultiFactor","Please reset my Servier mail ID MFA","false","Assigned for Resolution"
"INC0788216","SC_ALL_L1_SDK","10/07/2025 12:52:54","India IT Support","VDI not working ","false","Incorrect Assignment"
